,County_State,2010-2011Delta,2012-2011Delta,2013-2012Delta,2014-2013Delta,2015-2014Delta,2016-2015Delta,2017-2016Delta
0,Alameda,3331,3439,3656,3076,6948,8558,7445
1,Butte,-999,3257,2049,5141,-3036,4076,4577
2,Contra Costa,2926,969,5407,5201,2458,7119,7984
3,El Dorado,-3185,6289,-2158,8510,4656,305,433
4,Fresno County,-144,-506,1894,1328,2180,4251,4268
5,Humboldt,-634,361,-285,356,4144,6494,241
6,Imperial,699,-3315,5450,1298,-2598,7278,4056
7,Kern,-384,2655,294,2387,3245,-1423,109
8,Kings,3476,110,-2228,-946,7003,868,826
9,Lake,3302,-5638,5453,-3829,3465,10095,6181
10,Los Angeles,1563,36,3101,2422,3052,3562,4447
11,Madera,-7719,-65,631,1852,7188,1909,-86
12,Marin,-4432,17144,11491,-1843,10275,2555,10151
13,Mendocino,9724,-6777,10145,-609,-4030,7506,9043
14,Merced,-4346,1951,-2332,4390,-488,11459,-1481
15,Monterey,-221,1711,2124,5079,2715,2199,4000
16,Napa,1892,2170,2296,8207,9769,-5199,10791
17,Nevada,6749,2053,-1634,4023,-5758,13689,11432
18,Orange,3218,1445,3170,2879,2023,7276,2285
19,Placer,214,3618,6242,2627,543,12651,-5838
20,Riverside,-645,-832,3192,1186,3397,2513,5457
21,Sacramento,299,1545,1576,4767,608,4677,4015
22,San Bernardino,-647,-726,3268,355,1174,3535,4361
23,San Diego,-495,2491,4641,3170,988,6567,6523
24,San Francisco,2046,4428,9996,1960,14937,10805,6710
25,San Joaquin,-384,2010,-1496,4590,771,5778,4699
26,San Luis Obispo,-2344,7745,-2349,7545,2142,2256,4391
27,San Mateo,11258,-3382,10926,11355,1874,12637,7413
28,Santa Barbara,-319,-377,8858,-3869,4272,936,8418
29,Santa Clara,4949,4553,5315,5313,7565,9420,8078
30,Santa Cruz,2576,8710,-4695,6070,-2132,14891,5193
31,Shasta,808,4468,-4490,4853,2776,1744,9203
32,Solano,2744,-1505,1932,3075,777,9526,3444
33,Sonoma,4597,1847,3137,6789,1926,3598,6484
34,Stanislaus,-3733,2771,5528,-1902,4080,3824,2251
35,Sutter,3561,1775,2139,2692,-3613,2420,1283
36,Tulare,-1295,-1126,-922,4124,3200,280,2727
37,Ventura,493,390,7129,-2561,5263,1605,4657
38,Yolo,-392,-249,88,5058,2716,9710,3490
39,Yuba,-3370,2734,-4465,3711,10527,1602,4229