County_State,2010-2017Delta
"Alameda County, California",36453
"Butte County, California",15065
"Contra Costa County, California",32064
"El Dorado County, California",14850
"Fresno County, California",13271
"Humboldt County, California",10677
"Imperial County, California",12868
"Kern County, California",6883
"Kings County, California",9109
"Lake County, California",19029
"Los Angeles County, California",18183
"Madera County, California",3710
"Marin County, California",45341
"Mendocino County, California",25002
"Merced County, California",9153
"Monterey County, California",17607
"Napa County, California",29926
"Nevada County, California",30554
"Orange County, California",22296
"Placer County, California",20057
"Riverside County, California",14268
"Sacramento County, California",17487
"San Bernardino County, California",11320
"San Diego County, California",23885
"San Francisco County, California",50882
"San Joaquin County, California",15968
"San Luis Obispo County, California",19386
"San Mateo County, California",52081
"Santa Barbara County, California",17919
"Santa Clara County, California",45193
"Santa Cruz County, California",30613
"Shasta County, California",19362
"Solano County, California",19993
"Sonoma County, California",28378
"Stanislaus County, California",12819
"Sutter County, California",10257
"Tulare County, California",6988
"Ventura County, California",16976
"Yolo County, California",20421
"Yuba County, California",14968